Chr	Mb_NCBI38	cM
UNC21628873	12	92977929	45.198
UNC12559756	7	29673922	17.1835
UNC10105554	5	126413156	64.8587
UNC2151334	1	168256988	76.254
UNC29486228	18	66956341	39.7882
UNC8511400	4	154326749	83.9729
UNC4339914	2	160008433	80.651
JAX00136581	5	141806900	80.3657
UNC20496338	11	118045512	82.957
UNC2434424	1	191382690	96.283
UNC19265057	11	24630995	15.1998
UNC19568584	11	47552763	28.261
UNC8309951	4	137144154	69.4628
UNC19181711	11	17981197	10.4567
UNC2355402	1	184916609	89.2847
UNC26610304	16	33210626	23.7292
UNC090280403	9	103200699	55.0222
JAX00003394	1	48405811	25.843
UNC13318232	7	88112831	49.01
UNC10789662	6	28309267	11.994
B6_13-065023280-S	13	64921972	34.212
UNC20693383	12	16160853	7.6945
UNC15162280	8	86328116	41.847
UNC040279033	4	125809614	59.4494
UNC20191947	11	96383908	59.8772
UNC11863739	6	111957671	52.1131
JAX00106222	3	36474653	17.4653
UNC25140152	15	18843192	8.2041
UNC28538159	17	87247785	57.0492
UNC26152240	15	94833832	48.9141
UNC25116544	15	17241792	7.909
UNC140471593	14	77482517	40.7745
UNC14562892	8	39735771	23.893
JAX00163348	8	72501351	35.084
UNC20404978	11	112187680	75.8779
UNC14981449	8	71887405	34.5709
UNC27739687	17	28915988	15.027
backupUNC120445049	12	109631662	60.4841
UNC140308207	14	99791222	50.895
UNC15430367	8	105111642	53.038
UNC5456377	3	68646380	31.8897
UNC28473365	17	82691936	51.9704
UNC24866496	14	118621905	62.484
JAX00387746	14	99102899	49.2752
UNC071152032	7	68973872	37.943
UNC945627	1	74384369	38.536
UNC28893734	18	24270164	12.9792
UNC5250929	3	51477834	22.4896
UNC28520862	17	86005554	56.544
UNC28913324	18	25704336	14.2807
UNC19180640	11	17903838	10.439
JAX00144685	6	102014170	47.502
JAX00170674	9	44612649	24.836
UNC8103915	4	121095617	56.802
UNC848027	1	67333306	33.747
UNC19168786	11	17071967	9.5429
UNC4595885	2	180422013	102.9541
JAX00454435	18	26174140	15.194
UNC9305271	5	61603630	31.986
UNC31085849	X	90997535	40.2302
UNC28911983	18	25610395	14.1205
UNC23404344	13	113162925	63.929
UNC29223247	18	49213579	26.3143
UNC23654589	14	19678304	10.4642
UNC12633451	7	36534561	22.298
UNC24988795	15	7360116	3.5766
UNC020251618	2	159044650	79.29
UNC19263080	11	24486409	14.9426
UNC13906778	7	134185004	78.2012
UNC5350425	3	58630781	28.6489
UNC4485799	2	170117705	89.9434
JAX00152896	7	73989959	42.2724
UNC25397494	15	38225960	15.142
UNC27966847	17	48776629	24.659
JAX00276472	1	172955306	80.332
UNC21315212	12	67507945	28.3512
UNC28588058	17	90402013	59.8821
JAX00028576	11	67728126	41.127
UNC11892298	6	114061140	52.943
UNC22623980	13	53792222	28.2976
UNC21844978	12	107682109	58.3635
UNC19194490	11	18939232	11.2156
UNC16651889	9	75423106	42.296
UNC090290020	9	33869157	18.242
UNC20843887	12	32094128	13.737
UNC14309979	8	23230036	11.4188
UNC17431065	10	12119482	3.765
UNC20707971	12	17130200	8.041
JAX00435249	17	29049362	15.027
UNC12335235	6	146739960	77.701
UNC010106429	1	64657833	32.737
JAX00143278	6	83240194	35.94
JAX00571950	4	154872258	85.5524
UNC16764900	9	83526632	45.4842
UNC9496552	5	76166332	40.5136
UNC27412650	16	92936800	54.1564
UNC101409337	10	87710965	43.701
UNC13025017	7	66266816	35.5974
UNC120441142	12	108071700	59.2055
UNC27949121	17	47683769	23.8624
UNC3752203	2	110950762	56.753
UNC27109427	16	73284893	41.5328
UNC4498233	2	170843178	92.5244
UNC29608195	18	74744758	50.7113
UNC13072314	7	69676036	38.321
UNC15483325	8	109817253	57.2876
UNC9465470	5	73975051	39.3098
UNC13757761	7	122467442	66.0608
JAX00671960	8	71320996	34.428
UNC3157051	2	60201233	34.4541
UNC010295757	1	142222344	62.3584
UNC17044514	9	104578637	56.612
UNC3631757	2	100890079	53.5023
UNC31321212	X	131203520	53.6495
UNC5225421	3	49677824	21.667
UNC110175963	11	110221967	73.4967
JAX00387490	14	97038477	47.7697
UNC5838060	3	100438508	43.711
UNC26413420	16	18142178	11.24
UNC10094932	5	125751875	64.4034
UNC25908151	15	75858000	34.9951
UNC23663703	14	20363760	11.526
UNC23140560	13	95617451	50.2375
UNC13173630	7	76942426	43.926
UNC24578317	14	98252612	48.6147
UNC30063356	19	22434591	16.138
UNC26040229	15	86847521	40.9764
UNC724674	1	56863900	28.7536
UNC17425343	10	11685905	3.657
JAX00375785	14	27728317	16.51
JAX00181524	X	86341093	39.7874
UNC12255280	6	141479645	72.2959
UNC24598712	14	99683194	50.1107
UNC27992948	17	50651126	26.141
JAX00566191	4	129308895	63.26
UNC14974761	8	70902369	34.3977
UNC14610469	8	43005462	23.893
JAX00419820	16	46687757	30.598
UNC110160969	11	99193735	62.925
JAX00656715	7	134147691	78.1121
UNC10862554	6	34512103	15.031
UNC1378528	1	109174451	50.6011
UNC20690869	12	15985730	7.4846
backupUNC160135352	16	88368994	50.8523
JAX00084874	18	71455789	45.4375
UNC23941030	14	45638040	23.27
UNC3107052	2	56081692	31.659
UNC26061031	15	88246326	43.1627
UNC4577085	2	179092361	100.9266
UNC15259590	8	92778166	44.987
UNC10016178	5	119015545	60.1021
JAX00087286	19	16579974	11.6263
backupUNC190150199	19	15357109	10.3892
UNC13221761	7	80813355	45.707
UNC4509740	2	171487633	94.0734
UNC19739716	11	60316263	37.814
UNC14050554	7	145279189	89.0369
backupUNC010326580	1	159704960	69.032
UNC27036588	16	68182058	39.067
UNC120204066	12	91485783	44.8279
JAX00570428	4	149523977	79.6777
UNC020360345	2	169240714	89.2376
UNC4022277	2	134850839	65.664
UNC2398632	1	188401978	92.849
JAX00113646	3	136590049	63.3214
UNC23358751	13	110509314	62.2332
UNC4268649	2	154619213	76.789
UNC3586834	2	97491639	52.402
UNC14290425	8	21736266	10.352
JAX00138762	6	22636837	9.636
UNC21839112	12	107328581	57.958
UNC2958464	2	43985184	26.31
UNC8471565	4	151889624	82.7404
backupJAX00286714	10	31868200	17.6652
JAX00103978	3	6285268	1.961
JAX00042774	13	25585297	11.3131
UNC27053677	16	69578572	39.9565
UNC20345545	11	108552017	71.834
UNC21787819	12	104071699	53.1999
JAX00103535	2	179281299	101.8166
UNC080434173	8	117867667	65.329
UNC24561608	14	96956654	47.7215
UNC18588116	10	102772248	53.561
UNC2025451	1	157750187	68.046
JAX00511893	2	172507017	94.872
JAX00419421	16	45374295	29.531
UNC27555786	17	10183962	7.7419
UNC19623359	11	52057582	31.864
UNC1489878	1	116391798	51.8676
UNC1355837	1	107606544	50.344
UNC11499865	6	83138509	35.94
JAX00456148	18	35817591	19.2501
UNC10882187	6	36158847	15.478
UNC090221051	9	106819130	57.983
UNC16980163	9	100052109	52.473
UNC12639149	7	36859453	23.3296
UNC_rs32791096	1	160147562	69.5077
UNC21066592	12	48456402	21.776
UNC18466523	10	94200382	48.8347
JAX00325494	12	11083383	5.58
JAX00414927	16	17265558	10.7018
JAX00533532	3	108340221	46.9333
UNC8355585	4	140384855	71.577
UNC12851633	7	53118332	33.057
UNC040002854	4	6376626	2.913
UNC14577503	8	40797431	23.893
UNC11613920	6	93773237	42.696
UNC28518868	17	85853515	56.3123
UNC31457874	X	151007707	68.464
JAX00103806	3	3950591	1.961
UNC26151263	15	94765492	48.8273
UNC8391022	4	142913936	76.3831
UNC29064692	18	37764110	19.6287
UNC16716563	9	80232209	43.985
JAX00024896	11	18104834	10.518
UNC070443233	7	132974216	76.3209
UNC4609715	2	181950666	103.8729
UNC15711563	8	125804485	73.646
UNC16256498	9	43241515	24.2519
UNC6712924	4	9620467	4.2477
UNC3726307	2	108339657	56.2543
UNC8428725	4	148836647	78.872
UNC25984864	15	82604249	38.6536
UNC16820593	9	87567920	46.9821
UNC13764923	7	123114041	67.417
JAX00402608	15	60039358	25.582
UNC010872195	1	193271985	97.6946
UNC29337942	18	57631067	32.145
JAX00134864	5	118797611	59.7742
JAX00275371	1	168946077	76.728
JAX00691197	9	40510871	21.419
UNC3297982	2	71041855	42.385
UNC20787488	12	28288432	10.8468
UNC070057081	7	27075396	15.8138
UNC8432743	4	149221614	79.081
backupJAX00353971	13	31217704	13.3862
UNC13239362	7	82161769	47.0074
UNC14125682	8	9089522	3.7996
UNC9115508	5	47588180	26.019
UNC13256377	7	83460854	47.428
UNC22442370	13	38057043	17.9232
UNC14314227	8	23525213	11.496
backupJAX00055971	14	92892657	45.7549
UNC2043561	1	159347729	69.032
backupUNC031252208	3	90031448	39.1945
backupUNC080086985	8	26790423	15.5706
UNC19520395	11	44261259	25.943
UNC13399180	7	94335587	51.8605
UNC177767	1	16578608	5.098
UNC12043026	6	127116108	61.922
UNC10647628	6	18109088	8.0928
JAX00061061	15	39603272	15.447
UNC5108286	3	40725584	19.5039
JAX00551431	4	55129059	29.589
UNC25679211	15	58704464	25.0656
UNC7043081	4	34760677	16.859
backupUNC050000423	5	3325372	2.0214
JAX00130274	5	55576882	30.771
UNC19795140	11	64487594	40.2624
UNC19862560	11	68914739	42.1841
UNC14215472	8	15133411	7.7231
UNC27088675	16	72067858	40.762
UNC8102812	4	121005438	56.7438
UNC30034523	19	20929883	14.038
UNC180238368	18	40324466	21.312
JAX00157821	7	139899521	84.885
UNC140417972	14	46829890	24.3396
JAX00123774	4	118483863	54.6941
UNC150226248	15	74888185	34.289
JAX00173662	9	84559613	45.88
backupUNC150266470	15	95802531	50.6702
UNC2422174	1	190252352	96.0773
UNC28488345	17	83716738	54.6121
UNC18663316	10	107578171	56.0045
UNC8342543	4	139557134	70.7435
UNC9152463	5	49947077	26.8441
UNC28916615	18	26019453	14.952
UNC839510	1	66799554	33.6126
UNC10365932	5	144758684	84.767
UNC28914206	18	25791629	14.4666
JAX00546524	4	20992708	8.732
UNC5886207	3	104246169	45.516
UNC050148542	5	92756546	47.291
UNC1617184	1	126136230	54.7
UNC8154525	4	125630641	59.1829
UNC25171468	15	21406207	8.2648
UNC23963314	14	47581034	24.599
UNC090339208	9	73090089	40.08
JAX00643597	7	74270010	42.9343
UNC21798812	12	104701816	54.8652
UNC4307616	2	158025156	78.715
UNC16998816	9	101426401	53.4652
UNC150040417	15	19260674	8.233
UNC24677830	14	106181998	56.165
UNC25462898	15	42822760	16.732
UNC980518	1	77395075	39.5714
backupUNC080048533	8	12739048	5.726
UNC24507026	14	93412073	45.8854
UNC8363214	4	140794488	72.5403
UNC2456655	1	193578102	97.8637
JAX00545124	4	10994727	4.86
UNC25567982	15	50423531	18.985
UNC6332467	3	136962684	63.3953
UNC12644244	7	37184218	23.9848
UNC10028171	5	119959998	60.5065
UNC17079764	9	106796377	57.983
UNC26138553	15	93862960	47.8887
UNC3292533	2	70567912	41.6546
UNC26802136	16	50246008	31.3933
UNC10273832	5	137973967	76.9193
UNC6862075	4	21020816	8.732
UNC170342788	17	57093984	29.6637
UNC10112489	5	126828302	65.2698
JAX00327082	12	17155297	8.041
UNC3352943	2	75694566	44.7537
UNC30851745	X	57512303	31.9696
UNC2444829	1	192487912	97.5348
UNC26044437	15	87166114	41.3973
UNC23971951	14	48254252	24.599
UNC20230211	11	99470902	62.925
UNC26774124	16	48069707	30.729
UNC1928645	1	150315172	63.838
UNC31342301	X	134494770	56.179
UNC3163059	2	60685054	34.8909
UNC20517306	11	119615320	83.963
UNC24007625	14	51893713	26.7133
UNC7956957	4	109273541	51.2829
UNC2457020	1	193608539	97.8805
UNC27422758	16	93539040	54.4886
backupJAX00138747	6	22412210	9.3676
UNC29401753	18	61692752	34.6754
UNC26289520	16	7283384	3.407
JAX00015509	10	19218053	8.2304
JAX00262222	1	108045264	50.344
UNC27584261	17	12951769	8.7284
UNC30103151	19	24880561	19.8543
UNC3298653	2	71098194	42.385
UNC21977056	12	116517342	62.646
UNC7839357	4	100583712	45.761
UNC26137092	15	93758527	47.8449
UNC14204897	8	14474829	7.2783
UNC19518054	11	44110091	25.943
UNC9214325	5	54710320	29.8686
UNC26084639	15	90297977	45.0847
UNC8278487	4	135040066	67.1783
UNC1808116	1	141223640	62.298
UNC13223387	7	80951790	45.707
UNC26616610	16	33696029	24.1751
JAX00568528	4	139006310	70.571
backupUNC060236422	6	135453342	66.279
UNC3269841	2	69004134	39.529
UNC9704070	5	92919537	47.291
UNC14002864	7	140537986	85.6587
UNC17543541	10	20374335	9.754
UNC12301877	6	144713139	77.033
UNC3291948	2	70515362	41.5636
UNC6035021	3	116719272	50.4602
UNC30555204	19	56873010	52.0235
UNC19031647	11	7811167	4.8263
UNC29675477	18	79341773	52.9016
UNC1793646	1	140163402	61.617
UNC110114767	11	76580525	45.916
UNC12830013	7	51984014	32.9092
UNC12153275	6	135266996	66.1113
UNC22617082	13	53341901	27.68
JAX00299852	10	117459963	65.9219
UNC12388018	7	5367717	3.1065
UNC13946483	7	136964708	82.1149
UNC2148948	1	168112042	75.7506
JAX00126420	4	155772058	87.3209
UNC14252427	8	17150132	9.1032
UNC26964399	16	62858961	36.426
UNC9325489	5	63355039	32.7773
UNC4771696	3	16124231	4.0348
UNC23493347	13	119008789	67.21
backupUNC110375463	11	95520344	59.006
backupUNC030187275	3	117487795	50.8925
backupUNC010629680	1	155879951	67.643
UNC81870	1	9671947	2.078
UNC150030778	15	18193154	7.9867
UNC10110066	5	126683140	65.1261
JAX00032204	11	116562289	81.429
UNC1446279	1	113637635	50.839
UNC3268280	2	68894430	39.529
UNC020127485	2	103358787	54.433
UNC16268588	9	44175501	24.7774
JAX00622018	6	110425529	51.188
UNC17045516	9	104639294	56.612
UNC120192659	12	77258749	35.514
JAX00512801	2	179079420	100.9074
UNC13352834	7	91058515	51.0533
UNC19585644	11	49125343	29.1372
UNC4419990	2	165604334	85.7718
UNC18801772	10	117076006	65.0975
UNC26204743	15	99029698	55.6126
UNC7546206	4	77474689	37.323
UNC130067930	13	55398422	29.802
CEBJAX00159275	8	17033700	8.9378
UNC20251657	11	101148122	64.2907
UNC030505184	3	105667444	46.4243
UNC12015803	6	124969977	59.17
UNC14813187	8	58271371	30.697
JAX00629863	6	144634815	77.0048
JAX00672474	8	74602367	35.4837
UNC4427386	2	166102331	86.341
UNC26572729	16	30020582	21.054
UNC2971232	2	45556715	27.371
backuprs33542876	10	12448285	3.7781
UNC090363409	9	100771530	52.9158
JAX00387207	14	95046721	46.602
JAX00154770	7	99007410	53.9596
UNC9175326	5	51697377	27.015
UNC25647604	15	56418638	23.0275
UNC24283981	14	76619357	40.602
backupJAX00150273	7	37572987	24.7691
UNC18872003	10	121874880	69.982
UNC20088477	11	89329784	54.342
JAX00082710	18	42572355	22.7074
JAX00461233	18	60995790	34.406
UNC28033104	17	53683484	27.9243
UNC29215166	18	48633946	25.4617
UNC14118059	8	8508068	3.0989
UNC30318087	19	40723324	34.2566
UNC15141751	8	84647981	41.023
UNC538335	1	42403820	20.6277
JAX00462491	18	65267275	38.4086
UNC15467786	8	108552428	55.6449
UNC040755710	4	17381109	7.04
UNC17551716	10	21032776	9.754
UNC29537644	18	70287433	44.2529
UNC19044550	11	8690929	5.57
UNC27981917	17	49871863	25.862
UNC1233632	1	99267827	47.764
UNC090379276	9	117376388	69.3047
UNC030166572	3	109124697	48.128
UNC8369261	4	141190751	73.4346
JAX00138802	6	23169746	10.4423
UNC18355149	10	85592232	41.727
JAX00315701	11	76482122	45.916
UNC20093954	11	89694672	54.5342
UNC090290693	9	37468356	20.7675
UNC20808736	12	29648581	11.859
UNC20473481	11	116395932	81.2456
UNC030298778	3	158364187	81.8845
UNC21367022	12	71360852	29.393
UNC18168893	10	69259139	36.0585
UNC160155772	16	8381300	3.7787
UNC20616342	12	10518159	5.4442
UNC22796017	13	69512082	35.554
UNC2356497	1	185015056	89.3447
UNC7895905	4	104707325	48.513
backupUNC010623723	1	147428900	63.32
UNC23830931	14	34053176	20.802
JAX00150206	7	36688951	22.7618
UNC536663	1	42281440	20.5398
UNC10263306	5	137067911	76.1612
UNC3038487	2	51033211	29.5975
UNC27773838	17	31675652	17.0846
JAX00248660	1	42319987	20.5675
UNC2423738	1	190396863	96.0933
JAX00123584	4	115945482	53.0751
UNC23168764	13	97299998	50.663
UNC10391229	5	147053208	86.7126
JAX00665819	8	36219607	23.047
UNC956412	1	75527656	39.162
UNC12175526	6	136605883	66.589
UNC26018259	15	85174628	40.2622
UNC11846363	6	110808395	51.188
JAX00414029	16	11931778	6.791
UNC14335593	8	25066339	13.703
UNC8306152	4	136922275	69.051
UNC30371719	19	44491702	37.975
UNC20115619	11	91045623	56.103
UNC1679056	1	131204623	56.9152
UNC23755603	14	28362919	16.796
JAX00028525	11	67063636	40.593
UNC20253240	11	101291922	64.5996
UNC20743382	12	25275690	8.9826
UNC21994667	12	117538168	63.064
UNC20086076	11	89149716	54.342
UNC17212148	9	116900242	69.0488
UNC27728564	17	27857500	14.5932
JAX00535067	3	117148176	50.5494
UNC25040690	15	11574190	5.6912
UNC15476805	8	109306411	56.844
UNC050154313	5	96804953	47.291
UNC11030573	6	48276599	23.2434
JAX00208756	16	30057496	21.0806
JAX00502370	2	125985169	61.759
UNC12577401	7	30835532	19.2505
UNC22499701	13	42555242	20.9548
JAX00115955	4	10811164	4.8182
UNC15580854	8	116913010	63.3211
UNC5934507	3	108951264	48.0086
UNC6509477	3	148740070	74.0144
UNC21019895	12	44978166	20.8199
JAX00568471	4	138655053	70.4968
UNC22857565	13	73473767	39.9806
UNC13455062	7	98521559	53.862
UNC6586703	3	154541071	79.226
UNC6730576	4	11002647	4.86
UNC7290931	4	55548197	29.763
UNC28403149	17	78291748	48.2026
UNC8985768	5	38081733	20.207
JAX00371474	13	116314006	64.8933
UNC10027795	5	119935240	60.4853
JAX00164670	8	90173634	43.96
UNC21870402	12	109598842	60.401
UNC179038	1	16699047	5.098
UNC21999242	12	117819600	63.2083
JAX00547439	4	29239570	12.9674
UNC13194852	7	78627028	44.6943
UNC14050883	7	145321383	89.0616
UNC4988694	3	32620448	15.7945
UNC14437576	8	32080109	18.9767
UNC707026	1	55419000	28.1509
UNC14433376	8	31821615	18.754
UNC060624232	6	22610562	9.6046
UNC29552349	18	71276330	45.2556
UNC30945019	X	71098797	36.3971
UNC5246396	3	51148889	21.9486
UNC23949324	14	46363549	23.9334
UNC17135105	9	111935493	62.3871
UNC28240743	17	68057309	39.051
UNC1600173	1	124981844	54.7
UNC4590314	2	179980085	102.495
UNC525479	1	41452295	20.135
UNC28306904	17	72153073	44.2766
UNC27540034	17	8774977	5.278
JAX00063755	15	75551020	34.5231
UNC28301106	17	71829479	43.4206
UNC20148015	11	93017462	58.2589
UNC3365075	2	76499646	44.9597
UNC3294360	2	70716531	41.9118
UNC12850495	7	53063994	33.057
UNC18539305	10	99523763	51.176
backupUNC110044098	11	38221866	23.5795
UNC8436434	4	149528958	79.6964
UNC13776838	7	124181179	67.7967
JAX00536566	3	124408371	54.681
UNC5008656	3	34019613	16.4136
backupUNC090331519	9	64364454	34.6551
UNC5250689	3	51445001	22.4798
UNC11124460	6	55165974	27.374
UNC4437233	2	166645031	87.222
UNC6535699	3	150956887	76.756
UNC11854456	6	111314324	51.64
UNC30287958	19	38302156	32.9381
UNC2433925	1	191333382	96.283
B6_05-147860587-S	5	147049011	86.7101
UNC10387290	5	146844813	86.5578
UNC16430486	9	57932954	31.631
UNC20254605	11	101410577	64.9568
UNC9857021	5	106040417	51.1856
JAX00704601	9	106017492	57.4138
JAX00701943	9	92996783	48.4912
UNC1724774	1	134783001	58.243
UNC22598393	13	52223608	26.9001
UNC19103629	11	12816617	7.915
UNC29349748	18	58398518	32.4532
UNC17087482	9	107606558	58.3752
UNC180159545	18	71390119	45.371
UNC9998780	5	117549618	56.9886
JAX00352816	13	24818894	10.6944
JAX00272708	1	157145354	67.972
UNC19675399	11	56072025	33.4058
UNC23485868	13	118391968	66.8877
UNC29067574	18	38043391	19.9282
UNC150394441	15	80339206	37.848
UNC5255389	3	51767466	22.6278
JAX00175840	9	113691060	64.043
UNC21126401	12	53453305	22.617
UNC25027637	15	10819407	5.349
UNC29555627	18	71482476	45.4646
JAX00363742	13	76855389	40.977
UNC21548527	12	86417102	40.5527
UNC27546358	17	9307519	6.765
UNC19623138	11	52045443	31.864
UNC17207322	9	116581258	68.7904
UNC13982873	7	139152346	84.1527
JAX00602835	6	9018203	4.382
UNC16513211	9	64565556	34.7776
UNC12326973	6	146255063	77.701
UNC26091210	15	90673869	45.305
JAX00405764	15	74248242	34.1618
UNC12612445	7	35299336	21.3037
UNC9001561	5	39188789	20.891
JAX00648130	7	97421077	53.4971
UNC13949577	7	137172643	82.2461
UNC27443481	16	94967201	55.653
UNC100092985	10	83047150	40.7486
UNC12052920	6	127896655	62.5673
UNC24026437	14	54228506	27.7001
UNC26350016	16	12159423	7.219
UNC5080063	3	38783305	18.6645
backupUNC030439207	3	49086494	21.667
UNC30412855	19	47544692	39.6745
UNC3374307	2	77300333	45.937
UNC28350501	17	75002775	46.2288
UNC26348988	16	12084446	7.0781
UNC12344672	6	147330979	78.215
UNC19106398	11	13041068	7.915
UNC3556053	2	94926003	52.006
UNC16301304	9	46689399	25.5217
UNC5350514	3	58644283	28.6575
UNC20700089	12	16582340	7.9336
UNC13453446	7	98414295	53.7916
UNC120152111	12	53547700	22.617
UNC10534865	6	8684031	4.382
UNC20096190	11	89841601	54.605
UNC3286173	2	70144961	41.086
JAX00448999	17	85852894	56.3113
UNC30516321	19	54143265	49.2444
UNC26154460	15	94974503	49.0928
JAX00609917	6	51582854	25.0207
JAX00304184	11	12222084	7.305
UNC24261682	14	74962666	39.4844
UNC11802290	6	107722888	49.71
JAX00374010	14	17485003	7.08
JAX00169489	9	28716046	14.362
UNC23967523	14	47937734	24.599
UNC16695105	9	78626816	43.652
UNC16236042	9	41788178	23.499
JAX00132177	5	80915281	42.624
UNC31088309	X	91441543	40.3852
UNC27854527	17	40877348	19.544
UNC070488761	7	39897591	25.606
UNC5213888	3	48956447	21.667
UNC24163200	14	67458103	34.658
UNC7113087	4	40610280	20.463
UNC28590665	17	90580194	59.887
UNC4339355	2	159970368	80.63
UNC4183999	2	147774621	72.941
UNC19007335	11	5646058	3.866
UNC28529195	17	86654254	56.7888
UNC2697548	2	20820065	14.5793
UNC16215668	9	40434461	21.419
UNC27947528	17	47543325	23.4769
UNC30277942	19	37707336	32.3648
UNC16072801	9	29572593	15.0774
UNC16968452	9	99245481	51.456
UNC20744149	12	25328411	9.0649
UNC23688349	14	22455626	12.2349
UNC26225265	15	101225975	56.57
UNC31198730	X	109099070	47.92
UNC8962165	5	36603601	19.1815
UNC2456192	1	193534297	97.8395
UNC9337130	5	64226687	32.795
JAX00584161	5	62850781	32.041
UNC30846202	X	56821712	30.2173
JAX00170379	9	40682255	21.419
UNC13250985	7	82961053	47.3937
UNC3375234	2	77365083	45.937
UNC26024002	15	85691462	40.425
UNC18679019	10	108581993	56.5654
UNC22804391	13	70003427	35.554
UNC13847859	7	129992778	73.187
JAX00066737	16	14991728	10.086
UNC10646794	6	18011236	8.0838
JAX00556983	4	87769671	41.0646
JAX00437871	17	37838142	19.159
UNC6858233	4	20779557	8.732
UNC22292291	13	25661843	11.3749
UNC27562474	17	10946073	7.804
UNC12560354	7	29767225	17.2507
JAX00129542	5	45807797	25.4306
UNC14783691	8	55965419	29.6928
JAX00139790	6	36375397	15.478
UNC13374196	7	92558232	51.5069
UNC842856	1	66987396	33.747
UNC10345560	5	143373000	82.1132
UNC11014318	6	46699174	22.3103
UNC2022438	1	157508533	68.0027
JAX00009853	1	135198217	58.3176
UNC18154814	10	68220196	35.2363
UNC19503543	11	43156227	25.678
UNC26015286	15	84945355	40.249
UNC13249770	7	82837929	47.3387
UNC23461685	13	116817729	65.323
UNC050176919	5	109954752	53.2857
UNC150411470	15	102488544	57.6207
UNC10195676	5	132110148	71.1139
JAX00102660	2	164851814	85.273
UNC28684310	18	7686360	4.5788
UNC4539389	2	173295816	95.9752
UNC12634865	7	36612090	22.5309
UNC18445266	10	92767913	47.3318
UNC22466367	13	39684916	19.1993
UNC8356058	4	140409596	71.577
JAX00053189	14	55390911	28.191
UNC19002666	11	5088980	3.245
UNC26731863	16	44780061	29.0892
JAX00571946	4	154870736	85.5446
UNC090190668	9	97419474	51.063
UNC020060188	2	51732690	29.982
UNC30615033	X	6909156	3.092
UNC5241466	3	50816568	21.811
UNC24570370	14	97604141	48.111
UNC30559086	19	57077478	52.1045
UNC13681535	7	116472971	61.7556
UNC26133376	15	93448293	47.619
UNC7710285	4	89930525	42.153
JAX00079443	17	90899432	60.343
JAX00323425	11	119332342	83.3589
UNC25696016	15	60021145	25.582
UNC030229530	3	130818341	60.6199
UNC24598423	14	99665396	49.9604
UNC16674372	9	77181656	42.671
UNC26144628	15	94293763	48.2282
UNC20835926	12	31425580	13.4628
UNC24607530	14	100217651	50.895
UNC24508891	14	93551105	45.957
UNC26237066	15	102331957	57.4854
UNC20281687	11	103551728	67.379
JAX00170856	9	47039977	25.6572
UNC20904965	12	36667015	16.837
backupUNC030041565	3	36762933	18.1717
UNC31385919	X	139994604	61.355
UNC30570411	19	57823469	53.6552
UNC16787526	9	85313182	46.0313
UNC30370500	19	44429997	37.975
UNC6841175	4	19574375	7.5558
UNC22626014	13	53917532	28.3426
UNC4764228	3	15208022	3.553
UNC13814587	7	127674152	69.6588
JAX00098084	2	103637840	54.433
UNC16275187	9	44754606	24.836
JAX00038947	12	90696486	44.055
UNC16439441	9	58708204	31.7926
UNC25563416	15	50106484	18.8292
UNC19186816	11	18362738	10.6454
UNC13249196	7	82807039	47.3249
UNC15134655	8	84089763	40.2925
JAX00472210	19	17773589	12.863
UNC29328729	18	57055880	31.3766
UNC8233183	4	131337513	64.503
UNC5856067	3	101662117	44.301
UNC16316881	9	48143265	26.3011
JAX00393517	15	11720024	5.7647
UNC19862914	11	68932957	42.2029
UNC24506207	14	93362577	45.8554
UNC21134022	12	53999086	22.8034
UNC18155442	10	68285235	35.2881
UNC13939181	7	136468610	81.8135
UNC6040967	3	117060145	50.5123
UNC13704937	7	117979855	63.442
UNC070500524	7	51160449	32.602
UNC6848245	4	20052373	7.785
UNC20604170	12	9416279	4.0156
UNC27793239	17	33266233	17.982
UNC18822677	10	118675807	66.746
UNC592611	1	46208890	23.96
UNC28481927	17	83249612	52.3539
JAX00638718	7	50021849	31.843
UNC11506105	6	83645286	35.94
UNC10394741	5	147264048	86.8387
UNC17297860	9	122890516	73.2092
UNC010203492	1	104886216	49.453
backupUNC140312117	14	101341425	50.895
JAX00409887	15	92930106	46.9291
UNC3753638	2	111093032	56.753
UNC27425305	16	93695450	54.5982
JAX00003607	1	51261579	26.0191
UNC15297770	8	95607702	47.123
JAX00103595	2	180102696	102.6224
UNC16900598	9	94273181	48.9662
UNC30087701	19	24004489	19.0428
JAX00175220	9	105358911	56.612
UNC14426348	8	31427120	18.754
UNC16303868	9	46967855	25.626
UNC21552733	12	86648012	40.8031
UNC23481786	13	118106130	66.7786
UNC15223027	8	90342351	43.96
JAX00150827	7	45825727	29.533
UNC21998787	12	117787391	63.1842
UNC6324281	3	136371197	63.0508
UNC18963815	10	127847522	76.2395
UNC12637773	7	36792283	23.0793
UNC21194874	12	58911290	25.9638
UNC20766616	12	26711108	9.7392
UNC7683295	4	87552621	41.044
UNC838814	1	66733907	33.611
UNC16150532	9	35185095	19.9891
JAX00078499	17	78320509	48.3067
UNC10643321	6	17712977	8.0148
UNC20698231	12	16470468	7.8533
JAX00325236	12	9502236	4.0204
JAX00600744	5	146944001	86.57
UNC25020849	15	10411577	5.349
UNC9958831	5	114652554	55.994
UNC10388312	5	146899976	86.57
UNC16581784	9	69954521	39.108
UNC11766252	6	104879950	48.928
UNC27280564	16	84366220	46.925
